"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
"CONFEITARIA 16 DE MARÇO LTDA";"WILLEMSEN";"06.237.071/0001-99";"Sociedade Empresária";"30/04/2004";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";25620040;"RJ";"Petrópolis";"Centro";"RUA 16 DE MARÇO, 134";"(24) 2243-3362";"(24) 2243-3362";"";"";"WWW.WILLEMSEN.COM.BR";"19.030867.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"CONFEITARIA NOVA ALEMA LTDA";"ALEMA";"31.530.579/0001-28";"Sociedade Empresária";"22/06/1987";"Médio Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";24020054;"RJ";"Niterói";"Centro";"RUA SAO PEDRO, 167";"(21) 2621-6698";"(21) 2621-6698";"";"";"";"19.030838.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"CRISMILLE LANCHONETELTDA";"COMPAO";"03.426.328/0001-62";"Sociedade Empresária";"28/01/2000";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";24350310;"RJ";"Niterói";"Piratininga";"EST FRANCISCO DA CRUZ NUNES, 6501 LOJA 115/116";"(21) 2608-1571";"";"";"";"";"19.030486.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"CRISTIANE TORRES CAPRINE GABRIEL";"MERCEARIA ROMANA";"06.211.285/0001-96";"Sociedade Empresária";"19/04/2004";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";83203340;"PR";"Paranaguá";"Oceania";"AV. CORONEL JOSÉ LOBO, 326 - COSTEIRA";"(41) 3423-2666";"";"";"";"";"18.031781.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"CUBO COMERCIO DE ALIMENTOS LTDA.";"DADO BIER";"05.090.366/0001-12";"Sociedade Empresária";"04/06/2002";"Médio Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";91340110;"RS";"Porto Alegre";"Passo D'Areia";"AV. TULIO DE ROSE, 80 LOJA 314B";"(51) 3378-3041";"(51) 3378-3024";"";"";"WWW.DADOBIER.COM.BR";"23.031326.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"DALI COMERCIAL DE ALIMENTOS LTDA";"RESTAURANTE SALVADOR DALI";"01.276.032/0001-87";"Sociedade Empresária";"18/12/1996";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";41950600;"BA";"Salvador";"Rio Vermelho";"RUA BORGES DOS REIS, 11";"(XX) 3335-4593";"";"";"";"WWW.RESTSALVADORDALI.COM.BR";"05.030393.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"DANIELA PESSINI PASQUALI";"ARMAZEM MOINHOS";"08.205.390/0001-48";"Sociedade Empresária";"09/08/2006";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";95190000;"RS";"São Marcos";"São Marcos";"RUA OSVALDO ARANHA 1366 SL 08 CENTRO";"(54) 3291-2473";"(XX) 3291-2473";"";"";"";"23.031095.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Espanhol,Italiano"")"
"DANILO OLIVEIRA LIMA";"PEIXADA O ABELARDO";"00.152.675/0001-56";"Sociedade Empresária";"19/08/1994";"Médio Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";63900000;"CE";"Quixadá";"Quixadá";"AV. PLÁCIDO CASTELO, 2585";"(88) 3412-3132";"";"";"";"";"06.031461.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"DAVID LEONARDO TUSI TRES";"DOM CAMILO";"08.581.155/0001-70";"Sociedade Empresária";"02/01/2007";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";95555000;"RS";"Capão da Canoa";"Capão da Canoa";"RUA DOIS  333";"(51) 8408-4941";"(51) 3625-2828";"";"";"";"23.030634.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"DEFESTA NEGOCIOS & CULINARIA LTDA -ME";"TASCA DA ENSEADA";"02.812.388/0001-50";"Sociedade Empresária";"08/10/2009";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29050333;"ES";"Vitória";"Enseada do Suá";"RUA LICINIO DOS SANTOS CONTI, 51 -LJ 06/07";"(27) 3227-2626";"(27) 3227-8989";"";"";"";"08.032132.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"DELFRARO COMÉRCIO DE MASSAS E CAFÉ LTDA ME";"DELFRARO CAFÉ";"01.953.379/0001-17";"Sociedade Empresária";"23/06/1997";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";37440000;"MG";"Caxambu";"Caxambu";"AV. CAMILO SOARES N.696 LOJA C - CENTRO ";"(35) 3341-3922";"(35) 3341-1284";"";"";"";"11.030948.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"DELICIAS DO CAMARÃO LTDA";"VIVENDA DO CAMARÃO";"10.472.722/0001-00";"Sociedade Empresária";"10/06/2009";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74223900;"GO";"Goiânia";"Setor Bueno";"AV T 10 Nº 1300 LOJA 303 A QD A LT.10/18";"(XX) 3515-1288";"";"";"";"WWW.VIVENDADOCAMARAO.COM.BR";"09.031268.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"DI PAOLO GALETO E GRELHADOS LTDA";"DI PAOLO GALETO E GRELHADOS LTDA";"08.765.793/0001-41";"Sociedade Empresária";"28/08/2007";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";95020472;"RS";"Caxias do Sul";"São Pelegrino";"RUA OS 18 DO FORTE, 454.";"(54) 3533-6500";"";"";"";"WWW.CASADIPAOLO.COM.BR";"23.029869.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Italiano,Espanhol"")"
"DIEGO GIOVANAZ";"RESTAURANTE FAMIGLIA GIOVANAZ";"06.540.600/0001-29";"";"21/06/2004";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";95720000;"RS";"Garibaldi";"Garibaldi";"AV. RIO BRANCO,110";"(54) 3462-2331";"(54) 3462-1351";"";"";"";"23.029699.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"DINAR AUGUSTO DA SILVA - ME";"COM PIMENTA";"11.016.958/0001-97";"Sociedade Empresária";"24/07/2009";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";62598000;"CE";"Jijoca de Jericoacoara";"Jijoca de Jericoacoara";"RUA DO FORRÓ S/N";"(88) 8831-8322";"";"leryssdinah123@hotmail.com";"";"";"06.032871.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;"(Inglês)"
"DIO SANTO LTDA - ME";"DIO SANTO";"10.869.183/0001-30";"Sociedade Empresária";"15/10/2009";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79800021;"MS";"Dourados";"Centro";"AV. WEIMAR GONÇALVES TORRES, 1690";"(67) 3422-2828";"(67) 9971-9806";"mepsms@hotmail.com";"";"";"12.031377.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";230;"(""Nenhuma das Opções"")"
"DIVAILDO BARTOLOMEU DE LIMA & CIA LTDA";"RESTAURANTE TABUA DE CARNE";"40.980.690/0001-07";"Sociedade Empresária";"16/06/1992";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";58100000;"PB";"Campina Grande";"Centro";"AV. MANOEL TAVARES Nº 1040";"(83) 3341-1008";"(83) 9971-2303";"tabuadecarnecg@hotmail.com";"";"";"15.030668.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";250;"(""Nenhuma das Opções"")"
"DOCERIA CASA ALEMÃ LTDA EPP";"CASA ALEMÃ";"05.004.818/0001-04";"Sociedade Empresária";"17/04/2002";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";49025330;"SE";"Aracaju";"Jardins";"AV. JORGE AMADO, 864";"(79) 3301-4400";"(79) 3301-4401";"";"";"WWW.CASAALEMA.COM.BR";"25.030148.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"DON LEOPOLDO RESTAURANTE E PIZZARIA LTDA";"DON LEOPOLDO";"90.095.076/0001-30";"Sociedade Empresária";"24/09/1984";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";95650000;"RS";"Igrejinha";"Igrejinha";"RUA DA INDEPENDENCIA 358 CENTRO";"(51) 3545-3000";"(51) 3545-1317";"";"";"WWW.DONLEOPOLDO.COM.BR";"23.030423.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"DOS ANJOS CHOPERIA DE FRIBURGO LTDA";"ESQUINA DOIS";"02.498.478/0001-19";"Sociedade Empresária";"14/04/1998";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";28625090;"RJ";"Nova Friburgo";"Centro";"PRAÇA MARCÍLIO DIAS, 36";"(22) 2523-8909";"(22) 2523-8909";"";"";"WWW.ESQUINADOIS.COM.BR";"19.031282.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"DRM ITA BAR LTDA. ";"BAR DO CARANGUEIJO";"28.594.570/0001-76";"Sociedade Empresária";"15/08/1985";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";24800000;"RJ";"Itaboraí";"Itaboraí";"AV 22 DE MAIO , 2600";"(21) 2639-1046";"";"";"";"";"19.030266.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"DUE SORELLI PIZZARIA LTDA";"DUE SORELLI PIZZARIA";"07.857.137/0001-06";"Sociedade Empresária";"01/03/2006";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";95190000;"RS";"São Marcos";"São Marcos";"AV VENANCIO AIRES 241";"";"";"";"";"";"23.030694.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Italiano)"
"E A MACHADO - ME";"RESTAURANTE TRAPICHE";"08.052.744/0001-61";"Sociedade Empresária";"25/05/2006";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";68900020;"AP";"Macapá";"Central";"AV MENDONÇA JUNIOR  181 A";"";"";"";"";"";"04.032763.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"EDGAR KIYOTA BARBOSA DA SILVA - ME";"NIPPON PÃES";"02.264.616/0001-03";"Sociedade Empresária";"10/11/1997";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";79760000;"MS";"Bataiporã";"Bataiporã";"AVENIDA BRASIL, 1335 - CENTRO";"(67) 3443-1184";"(67) 3443-1184";"nipponpaes@hotmail.com";"rodrigo@assecontabilidade.com.br";"";"12.032747.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";160;"(""Nenhuma das Opções"")"
"EDIMILSON LINDEN DOS SANTOS";"RESTAURANTE E PIZZARIA NOVA VIDA";"02.317.834/0001-50";"Sociedade Empresária";"02/01/1998";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";95630000;"RS";"Parobé";"Parobé";"R. JOAO MOSMANN,461";"(51) 3543-1910";"";"";"";"";"23.031084.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"EDNA MARIA DA SILVA CALADO ME";"CHURRASCARIA PADRE CÍCERO";"11.055.604/0001-51";"Sociedade Empresária";"01/08/2009";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";63635000;"CE";"Milhã";"Milhã";"RUA GERVASIO MOREIRA, 15";"(88) 3529-1295";"";"";"";"";"06.032831.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"EDUARDO BIER INDL. E COML. DE PRODS ALIM. LTDA.";"DADO BIER";"00.066.130/0001-27";"Sociedade Empresária";"12/05/1994";"Médio Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";91340110;"RS";"Porto Alegre";"Passo D'Areia";"AV. TULIO DE ROSE, 80 CJ 314-C";"(51) 3378-3041";"(51) 3378-3024";"";"";"WWW.DADOBIER.COM.BR";"23.031857.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"EFE DOIS SERVIÇOS ALIMENTÍCIOS LTDA";"TRATTORIA ZAFFERANO";"00.172.190/0001-24";"Sociedade Empresária";"07/01/2009";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79020260;"MS";"Campo Grande";"Centro";"RUA GENERAL ODORICO QUADROS, 280";"(67) 3026-4565";"";"ameliagerrad1@hotmail.com";"zafferanotrattoria@hotmail.com";"";"12.029905.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;"(""Francês,Inglês"")"
"ELAINI G. FREITAS E CIA LTDA ME";"CAFÉ E CONFEITARIA ELAINI";"04.925.340/0001-84";"Sociedade Empresária";"28/02/2002";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";89160000;"SC";"Rio do Sul";"Rio do Sul";"SÃO JOÃO,240";"(47) 3521-2398";"";"";"";"";"24.031420.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ELIZABETH SOUSA TAKAHASHI";"RESTAURANTE MEDITERRÂNEO";"10.570.577/0001-92";"Sociedade Empresária";"20/01/2009";"Médio Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";62800000;"CE";"Aracati";"Aracati";"RUA DRAGÃO DO MAR S/N";"(88) 3421-7273";"";"";"";"";"06.031716.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Italiano,Espanhol"")"
"EMPORIO PAX DELÍCIA LTDA";"EMPORIUM PAX";"03.821.750/0001-12";"Sociedade Empresária";"19/05/2000";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";22250040;"RJ";"Rio de Janeiro";"Botafogo";"PRAIA DE BOTAFOGO, Nº 400 LJ - 704";"(XX) 3171-9713";"(XX) 3171-9714";"";"";"WWW.EMPORIUMPAX.COM.BR";"19.031005.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"ENGENHO BISCOITOS CASEIROS LTDA";"ENGENHO BISCOITOS CASEIROS ";"01.522.245/0001-41";"Sociedade Empresária";"01/11/1996";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70257510;"DF";"Brasília";"Asa Sul";"CLS 408 BLOCO ""A"" LOJA  35 ";"(XX) 3242-4179";"(XX) 3322-2003";"";"";"";"07.031859.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"ESCALER RESTAURANTE LTDA";"CABO GRILL RESTAURANTE";"01.554.797/0001-31";"Sociedade Empresária";"31/10/1996";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";28907090;"RJ";"Cabo Frio";"Centro";"RUA RAUL VEIGA, 554";"(22) 2647-3708";"";"";"";"WWW.CABOGRILL.COM.BR";"19.030370.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"ESPECIALIDADE DO CENTRO RESTAURANTE LTDA";"BURGÃO";"42.287.532/0001-00";"Sociedade Empresária";"12/05/2008";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";20010020;"RJ";"Rio de Janeiro";"Centro";"RUA SÃO JOSÉ, 35 - LOJAS G,H";"(21) 2531-0000";"(21) 3237-4000";"";"";"WWW.BURGAO.COM.BR";"19.029960.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Francês,Inglês,Japonês,Espanhol,Italiano"")"
"EVELINE RIBEIRO CAVALCANTE";"GRANDES DATAS";"10.995.073/0001-14";"Sociedade Empresária";"08/05/2009";"Médio Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";63870000;"CE";"Boa Viagem";"Boa Viagem";"RUA ALFREDO TERCEIRO, 645";"(88) 3427-7325";"";"";"";"";"06.032690.15.0001-2";"8230-0/01-SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";;"("""")"
"EXPANSÃO 234 ALIMENTOS LTDA";"EMPORIUM PAX";"04.784.770/0001-23";"Sociedade Empresária";"22/11/2002";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";22775002;"RJ";"Rio de Janeiro";"BARRA DA TIJUCA";"AV. DAS AMÉRICAS, 4666 LJ. 128 A";"(21) 3089-1291";"(21) 3089-1292";"";"";"WWW.EMPORIUMPAX.COM.BR";"19.030819.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"F S TEXEIRA";"CALDEIRAO RESTAURANTE";"08.458.688/0001-60";"Sociedade Empresária";"15/10/2006";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";28540000;"RJ";"Cordeiro";"Cordeiro";"POSTO ZOOTECNICO, 14";"";"";"";"";"";"19.030021.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"F. M. DE AZEVEDO ME";"RESTAURANTE NATURAL CLUB";"03.709.067/0001-98";"Empresa Individual (EIRELI)";"25/04/2000";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78068360;"MT";"Cuiabá";"Boa Esperança";"RUA 02, Nº 484";"(65) 3025-1582";"(65) 3025-1582";"financeiro@naturalclub.com.br";"";"";"13.032120.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;"(""Nenhuma das Opções"")"
"F.LACORDERIO D DE FREITAS - ME";"PANIFICADORA E CONFEITARIA FREITAS";"10.857.177/0001-62";"Sociedade Empresária";"20/04/2009";"Médio Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";62955000;"CE";"Ibicuitinga";"Ibicuitinga";"RUA JOSÉ DAMASCENO, 1606";"(88) 3425-1197";"";"";"";"";"06.032623.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"FÁBRICA DO LANCHE LTDA ME";"FÁBRICA DO LANCHE";"02.521.818/0001-85";"Sociedade Empresária";"27/04/1998";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";88980000;"SC";"Passo de Torres";"Passo de Torres";"CEL JOÃO FERNANDES 123";"(45) 3548-0327";"";"renanbalt@yahoo.com.br";"";"www.fabricadolanche.com.br";"24.030798.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";225;"(""Nenhuma das Opções"")"
"FAUSTO & PERUZZO - RESTAURANTE E CHOPPERIA LTDA EPP";"FAUSTO & MANOEL";"07.576.471/0001-91";"Sociedade Empresária";"01/09/2005";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70670503;"DF";"Cruzeiro";"Setor Sudoeste";"SHCSW CLSW 101 BLOCO C LOJA 6,8,10,12";"(61) 3039-6407";"";"faustoemanoel@yahoo.com.br";"";"";"07.029723.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";200;"(""Nenhuma das Opções"")"
"FAVORITO EMPREENDIMENTOS LTDA";"FAVORITO BAR E GRILL";"05.872.662/0001-75";"Sociedade Empresária";"12/08/2003";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";64056030;"PI";"Teresina";"São Cristóvão";"RUA PROFº MARIA BATISTA,69";"(86) 3233-3333";"(86) 3233-3333";"paulotajra@piaui.com.br";"";"FAVORITORESTAURANTE.COM.BR";"17.030165.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário)";140;"("""")"
"FAZENDA RENOPOLIS LTDA ME";"FAZENDA RENOPOLIS";"05.302.755/0001-64";"Sociedade Empresária";"31/10/2004";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";12450000;"SP";"Santo Antônio do Pinhal";"Santo Antônio do Pinhal";"ROD. FLORIANO R. PINHEIRO - SP 123  - KM 38";"(12) 3666-1470";"";"";"";"WWW.RENOPOLIS.COM.BR";"26.032594.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"FERNANDO GUILHERME NEGRAO ME";"BAR E RESTAURANTE MALAGUETA";"08.666.098/0001-22";"Sociedade Empresária";"16/02/2007";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";17380000;"SP";"Brotas";"Brotas";"AV MARIO PINOTTI 243";"(14) 3653-5491";"";"";"";"";"26.030445.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"FERREIRA & FORTES LTDA.";"LAR RESTAURANTE";"10.543.470/0001-55";"Sociedade Empresária";"01/11/2008";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";64180000;"PI";"Esperantina";"Esperantina";"ROD´PI 213 KM 02";"(86) 3383-1081";"";"";"";"";"17.030856.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"FERRONATTO FERRONATTO & CIA LTDA";"FERRONATTO GASTRONOMIA E EVENTOS";"03.604.954/0001-00";"Sociedade Empresária";"17/01/2000";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";95034240;"RS";"Caxias do Sul";"Santa Catarina";"RUA MATTEO GIANELLA, 1143";"(54) 3211-1515";"";"";"";"WWW.REDEMAXIMOSABOR.COM.BR";"23.030901.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Espanhol,Italiano"")"
"FICCIO&ROQUE LTDA ME";"O PIZZAIOLO";"00.133.396/0001-45";"Sociedade Empresária";"19/07/1994";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";17201460;"SP";"Jaú";"Centro";"RUA TENENTE LOPES, 242";"(14) 3621-9700";"";"";"";"WWW.PIZZAIOLOJAU.COM.BR";"26.031723.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"FLAVIO LUIZ MARQUES ME";"RESTAURANTE BOAS VINDAS";"91.076.125/0001-50";"Sociedade Empresária";"01/07/1986";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";95520000;"RS";"Osório";"Osório";"R VINTE QUATRO DE MAIO, 196/10";"(XX) 3663-3892";"";"";"";"WWW.BOASVINDAS.COM.BR";"23.032098.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"FORNO BENEDETTO PIZZARIA E RESTAURANTE LTDA ME";"FORNO BENEDETTO";"07.782.215/0001-50";"Sociedade Empresária";"09/01/2006";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70757040;"DF";"Brasília";"Asa Norte";"SHC NORTE QD 311 BLOCO D LOJAS 02/06";"(XX) 3349-0169";"(XX) 3349-0168";"";"";"WWW.FORNOBENEDETTO.COM.BR";"07.031366.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"FORNO DE PIZZA LTDA";"FORNO DE PIZZA";"07.169.316/0001-50";"Sociedade Empresária";"01/01/2003";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";58101000;"PB";"Campina Grande";"Centro";"RUA CAPITAO  JOAO ALVES  DE LIRA 40 ";"(XX) 83332-2661";"";"";"";"WWW.FORNODEPIZZA.COM.BR";"15.030087.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"FRANCINE TOMASINI & CIA LTDA-  ME";"RESTAURANTE TAGLIARINI";"07.953.505/0001-10";"Sociedade Empresária";"25/07/2006";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";95670000;"RS";"Gramado";"Gramado";"RU PEDRO BENETTI, 06";"(54) 3295-1567";"(54) 3286-3981";"";"";"";"23.030039.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"FRANCISCA FRANCILUCE FERNANDES LIMA ME";"FRANÇA'S LANCHONETE";"12.339.669/0001-91";"Sociedade Empresária";"03/06/1998";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";63870000;"CE";"Boa Viagem";"Boa Viagem";"RUA JOSÉ DE QUEIROZ SAMPAIO, 39";"(88) 3427-1116";"";"";"";"";"06.032655.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"FRANCISCO ADEMAR VIEIRA ME";"CAJU BUFFET";"05.221.572/0001-14";"Sociedade Empresária";"26/08/2002";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";63900000;"CE";"Quixadá";"Quixadá";"TRAV. JOSÉ CARDOSO, 74";"(88) 9956-2028";"";"";"";"";"06.031476.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"FRANCISCO ANTONIO PEREIRA DA SILVA RESTAURANTE";"BARRACA ANTONIO CÔCO";"05.357.699/0001-65";"Empresário Individual (Não MEI)";"01/11/2002";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";62800000;"CE";"Aracati";"Aracati";"RUA FRANCISCO CARAÇO, 231";"(88) 3421-7000";"";"antoniococo@antoniococo.com.br";"";"";"06.031615.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";250;"(Inglês)"
"FRANCISCO ASSIS FREITAS ROSMANINHO ME";"RESTAURANTE CASCUDÃO";"30.851.950/0001-90";"Sociedade Empresária";"02/06/1986";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";28348000;"RJ";"Comendador Venâncio";"Comendador Venâncio";"BR 356 KM 09";"(22) 3847-3119";"(22) 38487-3119";"";"";"";"19.031553.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
